GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jagunap,com.grasp.jagunap.util,SmsNotification,0,10,0,0,0,4,0,3,0,3
jagunap,com.grasp.jagunap.util,EmailNotification,0,10,0,0,0,4,0,3,0,3
jagunap,com.grasp.jagunap.service,OrderService,12,154,2,12,1,37,3,13,1,8
jagunap,com.grasp.jagunap.dto,OrderItemDTO,0,36,0,0,0,12,0,8,0,8
jagunap,com.grasp.jagunap.dto,OrderDTO,0,53,0,0,0,17,0,12,0,12
jagunap,com.grasp.jagunap.exception,GlobalExceptionHandler,8,11,0,0,2,3,1,2,1,2
jagunap,com.grasp.jagunap.exception,OrderNotFoundException,0,5,0,0,0,2,0,1,0,1
jagunap,com.grasp.jagunap.entity,OrderItem,24,22,0,0,7,7,7,3,7,3
jagunap,com.grasp.jagunap.entity,Order,15,49,0,0,4,14,4,7,4,7
jagunap,com.grasp.jagunap.controller,OrderController,0,42,0,0,0,11,0,6,0,6
jagunap,com.grasp.jagunap,JagunapApplication,5,3,0,0,2,1,1,1,1,1
